Date,Received Quantity,Received Currency,Sent Quantity,Sent Currency,Fee Amount,Fee Currency,Tag
03/06/2026 15:11:46,,,0.29097062,BTC,0.00000836,BTC,transfer
03/04/2026 16:15:30,0.2689553,BTC,19262.55,USD,0.00002406,BTC,buy
02/11/2026 04:34:51,,,0.30000564,BTC,0.00000564,BTC,transfer
02/06/2026 13:39:08,0.46788365,BTC,31128.19,USD,0.00001991,BTC,buy
02/06/2026 03:28:05,,,0.50001881,BTC,0.00001881,BTC,transfer
02/06/2026 01:19:42,0.58604194,BTC,38989.24,USD,0.0000671,BTC,buy
02/04/2026 22:45:06,,,0.50001035,BTC,0.00001035,BTC,transfer
01/31/2026 23:50:46,0.15880496,BTC,12865.49,USD,0.00001578,BTC,buy
01/31/2026 18:23:29,,,0.20001045,BTC,0.00001045,BTC,transfer
11/12/2025 00:17:26,,,0.00100564,BTC,0.00000564,BTC,transfer
06/19/2025 22:57:57,,,0.00101045,BTC,0.00001045,BTC,transfer
06/18/2025 18:19:58,0.24245812,BTC,25388.84,USD,0.00004482,BTC,buy
06/17/2025 16:19:44,0.5,BTC,52781.21,USD,0.00004594,BTC,buy
06/17/2025 16:06:51,0.2,BTC,21112.48,USD,0.00005003,BTC,buy
06/17/2025 15:57:27,0.1,BTC,10556.24,USD,0.00004913,BTC,buy
06/17/2025 15:34:20,0.0009573,BTC,101.05,USD,0.00006462,BTC,buy
06/09/2025 15:50:41,0.001,BTC,107.69,USD,0.00002213,BTC,buy
10/08/2025 17:22:11,0.000001,XRP,,,0.000011,XRP,buy
10/08/2025 17:21:51,,,4400.00001,XRP,0.00001,XRP,transfer
10/08/2025 17:20:00,0.000001,XRP,,,0.000011,XRP,buy
10/08/2025 17:19:40,,,9.00001,XRP,0.00001,XRP,transfer
08/11/2025 00:40:42,0.000001,XRP,,,0.000011,XRP,buy
08/11/2025 00:40:22,999.99996,XRP,3218.58,USD,0.00002,XRP,buy
06/23/2025 06:43:10,0.000001,XRP,,,0.000011,XRP,buy
06/22/2025 13:47:20,0.000001,XRP,,,0.000011,XRP,buy
06/13/2025 22:17:50,0.000001,XRP,,,0.000011,XRP,buy
06/09/2025 06:15:10,0.000001,XRP,,,0.000011,XRP,buy
06/05/2025 14:51:41,0.000001,XRP,,,0.000011,XRP,buy
06/05/2025 14:51:20,13854.682377,XRP,30322.00,USD,0.00002,XRP,buy
06/05/2025 14:49:20,0.000001,XRP,,,0.000011,XRP,buy
06/05/2025 14:48:52,45.317563,XRP,99.18,USD,0.00002,XRP,buy
05/29/2025 22:28:50,0.000001,XRP,,,0.000011,XRP,buy
05/29/2025 22:28:30,10000,XRP,22843.23,USD,0.00002,XRP,buy
05/29/2025 22:26:51,0.000001,XRP,,,0.000011,XRP,buy
05/29/2025 22:26:31,100,XRP,228.43,USD,0.00002,XRP,buy
01/10/2026 19:30:42,0.0000001,XLM,,,0.001,XLM,buy
01/10/2026 19:30:31,0.0000001,XLM,,,0.001,XLM,buy
01/10/2026 19:24:01,0.0000001,XLM,,,0.001,XLM,buy
01/08/2026 13:16:26,0.0000001,XLM,,,0.001,XLM,buy
01/05/2026 17:14:28,0.0000001,XLM,,,0.001,XLM,buy
01/04/2026 04:28:07,0.0000001,XLM,,,0.001,XLM,buy
01/03/2026 14:06:37,0.0000001,XLM,,,0.001,XLM,buy
01/03/2026 08:33:56,0.0000001,XLM,,,0.001,XLM,buy
01/02/2026 20:54:54,0.0000001,XLM,,,0.001,XLM,buy
12/31/2025 10:00:49,0.0000001,XLM,,,0.001,XLM,buy
12/21/2025 03:05:14,0.0000001,XLM,,,0.001,XLM,buy
12/20/2025 20:21:49,0.0000001,XLM,,,0.001,XLM,buy
12/20/2025 12:18:23,0.0000001,XLM,,,0.001,XLM,buy
12/19/2025 14:47:19,0.0000001,XLM,,,0.001,XLM,buy
12/19/2025 12:32:32,0.0000001,XLM,,,0.001,XLM,buy
12/19/2025 10:14:53,0.0000001,XLM,,,0.001,XLM,buy
12/17/2025 22:11:42,0.0000001,XLM,,,0.001,XLM,buy
12/17/2025 22:05:01,0.0000001,XLM,,,0.001,XLM,buy
12/17/2025 17:11:03,0.0000001,XLM,,,0.001,XLM,buy
12/16/2025 21:10:37,0.0000001,XLM,,,0.001,XLM,buy
12/16/2025 16:53:09,0.0000001,XLM,,,0.001,XLM,buy
12/15/2025 20:57:58,0.0000001,XLM,,,0.001,XLM,buy
12/07/2025 11:18:01,0.0000001,XLM,,,0.0009,XLM,buy
12/01/2025 03:59:01,0.0000001,XLM,,,0.0009,XLM,buy
11/24/2025 13:17:45,0.0000001,XLM,,,0.001,XLM,buy
11/23/2025 21:31:18,0.0000001,XLM,,,0.001,XLM,buy
11/16/2025 22:06:24,0.0000001,XLM,,,0.001,XLM,buy
11/15/2025 21:56:14,0.0000001,XLM,,,0.001,XLM,buy
11/14/2025 21:39:22,0.0000001,XLM,,,0.001,XLM,buy
11/13/2025 21:42:21,0.0000001,XLM,,,0.001,XLM,buy
11/13/2025 08:21:37,0.0000001,XLM,,,0.001,XLM,buy
11/12/2025 19:20:58,0.0000001,XLM,,,0.001,XLM,buy
11/12/2025 07:55:19,0.0000001,XLM,,,0.001,XLM,buy
11/11/2025 18:26:41,0.0000001,XLM,,,0.001,XLM,buy
11/10/2025 17:54:14,0.0000001,XLM,,,0.001,XLM,buy
11/08/2025 17:35:42,0.0000001,XLM,,,0.001,XLM,buy
11/07/2025 15:56:58,0.0000001,XLM,,,0.001,XLM,buy
11/05/2025 19:46:36,0.0000001,XLM,,,0.001,XLM,buy
11/04/2025 19:05:51,0.0000001,XLM,,,0.001,XLM,buy
11/04/2025 01:30:58,0.0000001,XLM,,,0.001,XLM,buy
11/02/2025 20:49:10,0.0000001,XLM,,,0.0009,XLM,buy
10/29/2025 08:05:06,0.0000001,XLM,,,0.0009,XLM,buy
10/28/2025 10:36:20,0.0000001,XLM,,,0.0009,XLM,buy
10/26/2025 13:01:53,0.0000001,XLM,,,0.0009,XLM,buy
10/23/2025 22:18:42,0.0000001,XLM,,,0.0009,XLM,buy
10/23/2025 13:45:18,0.0000001,XLM,,,0.001,XLM,buy
10/22/2025 15:15:14,0.0000001,XLM,,,0.001,XLM,buy
10/21/2025 07:03:46,0.0000001,XLM,,,0.0009,XLM,buy
10/20/2025 20:46:20,0.0000001,XLM,,,0.001,XLM,buy
10/20/2025 05:30:37,0.0000001,XLM,,,0.001,XLM,buy
10/19/2025 12:10:20,0.0000001,XLM,,,0.001,XLM,buy
10/18/2025 13:22:48,0.0000001,XLM,,,0.001,XLM,buy
10/16/2025 16:38:12,0.0000001,XLM,,,0.001,XLM,buy
10/13/2025 17:23:25,0.0000001,XLM,,,0.0009,XLM,buy
10/11/2025 08:41:27,0.0000001,XLM,,,0.0009,XLM,buy
10/08/2025 18:12:02,0.001,XLM,,,0.00001,XLM,buy
10/08/2025 18:11:45,,,27800.00001,XLM,0.00001,XLM,transfer
